id,degree_level,family_size,gender,age_cat,marital_status,residence_type,work_type,salary
130,university,5,female,18-24,single,family,entrepreneur,149000
131,university,5,female,25-34,single,family,full_time,199000
132,university,5,female,15-24,single,family,full_time,148000
133,senior_high,5,female,25-34,married,own,housewife,659000
134,university,7,male,25-34,single,family,entrepreneur,99000
135,university,4,female,25-34,single,rent,full_time,139000
136,diploma,4,female,25-34,single,kost,full_time,199000
137,senior_high,4,female,18-24,single,family,student,59000
138,university,4,male,25-34,married,family,entrepreneur,55200
139,university,5,female,35-44,single,family,full_time,224500
140,senior_high,4,female,15-24,single,family,full_time,159000
141,university,4,female,35-44,married,family,full_time,398000
142,university,3,female,25-34,married,family,full_time,224250
143,senior_high,5,female,35-44,single,family,part_time,59000
144,university,1,female,18-24,single,kost,full_time,318000
145,university,4,male,25-34,single,family,full_time,259000
146,senior_high,7,female,18-24,single,family,student,129000
147,university,3,female,18-24,single,family,student,134250
148,university,3,female,25-34,single,family,full_time,218891
149,university,2,female,25-34,married,own,part_time,169000
150,senior_high,5,female,35-44,single,family,part_time,267750
151,university,1,female,18-24,single,kost,full_time,169000
152,senior_high,3,female,18-24,married,family,housewife,209000
153,university,1,female,18-24,single,family,part_time,209000
154,university,7,male,35-44,married,family,full_time,25000
155,school,4,male,0-17,single,family,student,59000
156,university,7,female,25-34,married,family,housewife,329000
157,university,4,female,35-44,single,family,full_time,104500
158,university,3,female,18-24,married,own,housewife,329000
159,diploma,4,female,35-44,married,rent,housewife,189000
160,senior_high,3,female,15-24,single,rent,student,320600
161,senior_high,4,female,25-34,single,rent,full_time,269000
162,university,4,female,18-24,single,family,full_time,80550
163,university,1,male,18-24,single,kost,student,193500
164,senior_high,6,female,18-24,single,family,student,99000
165,university,5,female,35-44,single,family,full_time,199200
166,university,7,male,25-34,single,family,entrepreneur,189000
167,senior_high,1,female,25-34,single,kost,entrepreneur,209000
168,university,5,male,25-34,married,family,full_time,109000
169,senior_high,4,male,35-44,single,rent,entrepreneur,948306
